id,question,answer,title
966,"Как получить прогноз, и где можно поставить ставку онлайн?","Щелкайте ""Капперы"" сверху в меню. Снизу появятся список капперов, чьи прогнозы вы можете посмотреть, ещё ниже прогнозы одобренные модератором. Слева появится меню, если в нем счелкните ""Все прогнозы"" увидите больше прогнозов!
Ставить ставки рекомендую на Марафон БК, но тут дело вкуса...","Как получить прогноз, и где можно поставить ставку онлайн?"
967,"Не могу вывести деньги. Пробовала и через систему, с помощью которой пополняла. Что делать?","Добрый день, Ольга. 
Возможно, Вам нужно пройти процедуру идентификации. Напишите в поддержку БК, Вам ответят в чем причина. 
Держите нас в курсе!",Как вывести деньги с 1xbet?
968,"Хочу проконсультироваться с ними по поводу Париматч, 2 дня назад в Париматч написал. а они молчат партизаны :)) .. Представьте в казино, скажем Монако, клиент передает фишки крупье и называет цифру а потом отвлекается на бокал шампанского или иное. Вряд ли клиент там САМ ОБЯЗАН проследить за тем что крупье поставил именно на его число и если крупье перепутал и поставил на соседнее по месту число, там наверное переслушав запись выплатят выигрыш. А в моем случае, ситуация один в один: я в Колесо Фортуны назвал кассиру, несколько раз повторив, 4 числа одинарами и даже написал на бумажке и передал с деньгами.. Она умудрилась первое число (которое и выиграло) перепутать и поставила другое соседнее число, а я отвлекся на ставки лайв и не перепроверил тщательно цифры ((( .Бегло взгянул. вроде верно. но паралельно ставил лайв и глаз ""замылился"". Видеозапись подтверждает все это, но Служба поддержки сказала "" если наш кассир ошиблась и вы сразу это не увидели, то все выигрыш мы вам не выплатим. а только вернем саму сумму ставку а не выигрыш (в 18 раз больше). потому что наш кассир не виноват что Вы не проверили и не увидели что она ошиблась"". Вы можете представить чтобы в казино Монако подобное было и чтобы их крупье сказал а Вы ОБЯЗАНЫ были посмотреть и удостовериться что я поставил на выбранное Вами число, а раз я поставил на соседнее число, то фиг Вам а не выигрыш?","<p>Добрый день, Нуркен!</p><p>Ситуация безусловно неприятная. Получив купон, Вы согласились с пари, указанным в купоне. В данном случае выплаты по проигравшему купону - индивидуальный акт доброй воли компании.</p>",В какие Европейские и мировые Ассоциации Букмекерства и Беттинга БК Париматч входит?
969,"День добрый! Отписался от писем, которые приходят с информацией о комментариях к постам. Как подписать обратно?","<p>Добрый день, Дмитрий!</p><p>Подписаться на уведомления можно непосредственно в статье. Под комментариями к статье немного левее есть кнопка ""Подписаться на обсуждение"" (выделена синим).</p><p>А Вы где отписались?</p>",подписаться на комментарии
970,"Подскажите пожалуйста адреса пунктов приема ставок в г. Москве, Екатеринбурге, Омске, Астане. Спасибо!","Добрый день, Виктор. 
Воспользуйтесь нашим сервисом для поиска ППС. Вот <a href=""https://pps.bookmakersrating.ru"" target=""_blank"">ссылка</a>.",Адреса пунктов приема ставок
971,"Здравствуйте, почему пропала страница с моим новым прогнозом спустя 5 мин??? https://bookmaker-ratings.ru/tips/zenit-rostov-prognoz-aleksandra-vodyanova/",Появился?)) ,Пропал прогноз!
972,"приветствую, веду свой паблик в ВК ставки полностью верфицированы на сервисе betonsuccess, как пройти вашу проверку? /Комментарий был отредактирован. Ссылки на сторонние ресурсы запрещены/","Здравствуйте, Евгений! Напишите, пожалуйста, на нашу почту поддержки и вас свяжут с нужным человеком!",пройти проверку
973,"здравствуйте все больше групп и пабликов Вк рекомендуют,причем настойчиво эту БК БК /Комментарий был отредактирован. Ссылки на сторонние ресурсы запрещены/ независимых отзывов в сети НЕТ ВООБЩЕ ЧТО вы можете о ней сказать ?","Здравствуйте, Евгений! Лично я не играл, но вы можете ознакомиться с обзором данной БК и ее оценкой в нашем рейтинге: https://bookmaker-ratings.ru/review/obzor-bukmekerskoy-kontoryi-melbet/

Мы же рекомендуем играть в БК с оценкой 4 или 5!

Вполне вероятно, что все рекомендуют ее из-за партнерской программы. Но это просто предположение.",БК /Заголовок был отредактирован. Ссылки на сторонние ресурсы запрещены/
974,"Скажите, с чем может быть связано некорректное отображение шрифтов? Переустановил браузер и столкнулся с такой проблемой. Только на РБ.","<p>Александр, здравствуйте!</p><p>Какой используется браузер? Укажите, пожалуйста, его версию.</p><p>При смене размера текста в настройках браузера (немного увеличить) ситуация в лучшую сторону меняется? Если да, то какое значение по величине шрифта у Вас сейчас выбрано обычно?</p>",Вопрос к програмистам сайта
975,"Здравствуйте. Могу ли я дать прогноз на итог чемпионата России (чемпион и тройка призеров). Если это возможно, то как прогноз будет отображаться в каперской трибуне?","Здравствуйте, Василий! Думаю, можете. Но лучше вам дождаться ответа модераторов трибуны, чтобы узнать, как он будет выглядеть. И чтобы ускорить данный процесс, можете задать вопрос в комментариях к одному из своих прогнозов.",Здравствуйте. Могу ли я дать прогноз на итог чемпионата России (чемпион и тройка призеров).
976,"Украли деньги с бк олимп.Выйграла 4000 руб.зашла снять деньги ставка рассчитанна, денег нет..!МОШЕННИКИ!снятие средств на какой то кошелек есть.пароли в почте не храню,ее никто не взламывал","Добрый день, Иван! ВЫ обращались в поддержку букмекера? Также вы можете заполнить форму жалобы: https://bookmaker-ratings.ru/help-homepage/forma-zhalob/",Вывод средств БК Олимп
977,"Я положил деньги на 1хбет,потом у меня вылетело я стал заходить и было написано что неверный пароль,я решил восстановить набрал новый стал опять заходить и опять писало что не правильный пароль и так раз 15 а щас вообще пытаюсь так эе сделать но не могк потому сто написано что нету такого имейла,помогите мне зайти на мою страницу ,а то деньгм пропадут И так посточнно сто пароль неправильный никогда","Добрый вечер, Виталий.
Вы пробовали связаться с поддержкой БК? Объясните для начала им всю суть ситуации. 
Держите нас в курсе! ",Не могу зайти на свой профиль
978,"Друзья не успел добавить прогноз, бяда - дажене знаю как теперь болеть. Три раза пытался, последний даже сфотал. Загрузка крутится в течении пяти минут и ничего - как то давно такое было - вроде как сайт перегружен? Может добавим, когда получится загрузить на трибуну и результаты засчитаете(если конечно он случайно пройдет)? Там ОЗ+ТБ2.5 и ОЗ в в 1-м отдельно и отдельно во 2-м тайме?","Напишите об этом комментарий под свои прогнозом. Возможно, Вам пойдут навстречу, хотя правила для всех одни. ",Добавление прогноза(
979,"После получения БК Тенниси 4-ки в рейтинге РБ я был крайне удивлен и решил написать Вам, т.к манера общения их представителей и решения, которые они предлагают касательно баланса счета на положительную оценку никак не тянут. В результате моя жалоба была размещена (спасибо РБ). Только спустя месяц представитель Тенниси соизволил ответить. С данным ответом я не согласен и у меня возникли дополнительные вопросы, которые я отразил в комментарии. Однако, если БК Тенниси будет отвечать с такой же регулярностью, то диалог растянется на годы. Статус моей жалобы ""в обработке"".","Вам нужно ждать ответа от представителя конторы. Все жалобы на Тенниси переданы их представителю, все что зависит от нас, сделано.",Как долго может рассматриваться жалоба на БК?
980,"Посмотрев свою статистику за июль я заметил что последние 3 прогноза точно не учтены в ней, хотя сами прогнозы одобренный модераторами и на страницах с самим прогнозом уже рассчитан результат. Прошу помочь мне в сложившейся ситуации, буду признателен.","Добрый день, Мирослав! Если вы говорите о прогнозах на Суперкубок УЕФА, то его рассчитали только после 00:00, а каждое обновление в 00:00.",Не обновляется статистика прогнозов.
981,"После недавних обновлений клиента ""марафон"" во вкладке ""избранное"" постоянно появляются события и дисциплины которые я не добавлял. Это очень сильно мешает, они забивают весь экран и нужные события не помещаются. При этом они не отмечены как ""избранное"" и не развернуты, т.е. появляется только заголовок например - ""Бокс."" под ним появляется ""Олимпийские игры.1\8 финала"" на само событие не развернуто и не добавлено в избранное. Чтобы его убрать и не видеть приходится два раза кликать на звездочку, т.е добавлять его а затем убирать из ""избранного"". За час таких событий может добавится по 30 штук это 30-40 строчек и они полностью закрывают экран! В настройках ничего по этому поводу нет, раньше такого не было. появилось только после недавних обновлений примерно месяц назад. Так же пропала функция добавления событий не в лайве в ""избранное"". Чтобы посмотреть матчи чемпионата постоянно приходится открывать ""футбол"" затем искать и открывать ""россия"". это очень неудобно! верните все как было!","Здравствуйте! Обратитесь к представителю БК Марафон, с целю решения вопроса! Оставьте жалобу/пожелание. ","Вкладка ""избранное"" постоянно забивается ненужными событиями"
982,"Я вожу числа с карточки , деньги снимаются на пару минут , и потом снова перекидываются на аккаунт Помогите пожалуйста","Здравствуйте! Напишите в тех поддержку, и спросить почему не выводят деньги. Вам с радостью ответят. Удачи ",Как снять деньги БК олимп ?
983,"Добрый день. Как можно удалить из профиля\в личном кабинете - БК, в которых я не играю? Спасибо. С уважением, Александр","Здравствуйте, в настройках профиля, который расположен под вашим фото справа вверху. Там есть мои букмекеры, и конторы в которых Вы играете отмечены цветным логотипом, а в которых не играете черно-белым. Если Вы хотите добавить БК, нажимаете на ту, в которой играете, а если хотите убрать, нажимаете на ту которую хотите убрать, она у Вас сразу потеряет цвет и будет черно-белой. И сверху возле надписи мои букмекеры станет на одну или больше БК меньше. Желаю удачи. ",Профиль на сайте
984,"Добрый день. Меня зовут Александр. У меня и у жены по игровому счёту в бк 1х бет. Ставки делались с одного компьютера и с одного ай пи адреса. Когда на счету жены появился выгрыш, она решила пройти верификацию и снять его.. Когда все документы были высланы, то пришёл вопрос кем я Александр являюсь для её. Она написала правду, что мужем. Они предложили ей видиоконференцию. Боюсь всё делают для того чтобы не выплатить деньги. Что посоветуете в данной ситуации.","Главный совет - играть с разных устройств и с разных IP, чтобы не возникало у букмекера подозрений в мультиаккаунтинге. Если все докажите, в плане документов и прочего, а ставки на обоих счетах будут честными и не будут регулярно дублировать друг друга, то, думаю, все выплатят. Но можете с этим повозиться. А на будущее - если вы играете с кем-то из членов семьи, то делать это надо с разных счетов, с разных устройств и с разных IP, чтобы у букмекера не было повода причислить вас к мультиаккаунтерам, аннулировать все выигрыши, заблокировать счета и вернуть сумму депозита за вычетом комиссии за ввод и вывод средств.",Может ли бк 1хбет отказать в выплате денег со счёта и является ли мультиаккаутингом счет мужа и счёт жены в 1хбет.
985,"Добрый день, в ближайшее время планирую открывать проект по ставкам. Хотелось бв узнать, какие правила для каппера, чтобв попасть в ваш рейтинг, чтобы вы следили за моей группой, чтобы добавили в список проверенных, чтобы не попасть в список нерекомендуемых?","Здравствуйте, для начала его нужно открыть. И некое время давать в нем прогнозы, чтоб было видно работу проекта, а потом уже просить рассмотреть проект. Это должно пройти хотя бы пол года где-то, чтоб видели Вашу работу на длительном промежутке времени, а может и больше. И подписчиков там должно быть не сто человек, а больше)))) Желаю удачи.",Как попасть в рейтинг капперов?
986,Добрый день. Поясните пожалуйста 1x ставка - это новый букмекер под брендом 1x? В чем именно заключается их легальность в сравнении с другими конторами? прежние 1х имеют очень низкую оценку в вашем рейтинге. Насколько можно доверять 1x ставка,"<p>Добрый день, Павел!</p>
<p>1хСтавка работают по Российской лицензии и, как уже написал Ислам, работают через ЦУПИС.</p>
<p>По поводу доверия. 1xBet работают решением вопросов игроков, и мы полагаем, что их рейтинг у нас скоро изменится. 1хСтавка открылась не так давно и их рейтинг отражает текущую ситуацию. Имейте ввиду, что данная БК не приветствует вилки, мультиаккаунтинг, игру на опережение и тому подобное.</p>",1x ставка - верить или нет?
987,"Есть ли на настоящий момент стратегия размещения ставок, которая дает стабильную прибыль?","Нет никакой стабильности в данной теме. Доля везения и удачи поможет. А так, все спорно:)",Стабильность
988,"Здравствуйте. Составляю экспрессы из 3 событий с коэффициентом выше 2.2 (иногда ординары). При составлений прогноза использую теорию вероятности и математическую статистику, так что о составе, травм и т.д. я не знаю. Поэтому нужен человек который грамотно излагает свои мысли. Помогите мне написать мне грамотный текст прогноза (для бесплатного опубликования в капперскую трибуну). Золотую гору не обещаю, но статистика проходимости 80%. По ходу вы сами проверите и если хотите можете ставить. Надеюсь администрация не удалит эту запись.","Добрый день! Пишите обоснования так, как умеете и акцентируя внимание на том, за счет чего вы выбираете ставки. Зачем подгонять описание под выбор, если вы выбрали тот или иной исход не исходя из кадровых проблем того или иного соперника, а основываясь на своей стратегии.",Нужно грамотно описать прогноз
989,"Приветствую. Получил статус Профи и теперь настал вопрос. Тк статус я получил автоматически, Гуру я также могу получить автоматически? написал 3 или более отзывов к разным букмекерским конторам; оставил не менее 10 комментариев к материалам сайта в течение месяца за последних 3 календарных месяца; ежемесячно публикует выигрышные прогнозы в Каперской трибуне; ответил не менее трех раз рубрике «Вопрос-ответ». Но смущает 3 пункт. Про публикацию прогнозов. Я так понял спустя месяц только можно получить статус гуру по итогам месяца если прогнозы плюсовые?","<p>Добрый день, Александр!</p><p>Старым каперам зачлись их старые прогнозы. У новичков статус изменится по прошествии трех месяцев.</p>",Статус Гуру.
990,Здравствуйте. В интернете как-то увидел фотографию с этой конторой. Теперь хочется найти эту букмекерскую контору. Помогите пожалуйста. Буду благодарен!,Может вулкан-ставки? Похоже на их убогий дизайн.,В поиске конторы. Помогите найти
991,"Не обновляется статистика прогнозов в профиле, прогноз отклоненный после рассмотрения, второй день висит в рассмотрении. В статистике, в списке висит самый первый прогноз, со статусом ожидания, почему так?","<p>Добрый день, Сергей! <br /><br />Были небольшие технические неполадки. Спасибо, что обратили внимание. Поправили, сейчас все работает. </p>",Статистика прогнозов в профиле.
992,приходит смс ошибка 3апроса,Обратитесь в службу поддержки БК.,никак не могу пополнить счёт ошибка 3апроса
993,"Здравствуйте! Имеете ли отношение к данному письму полученному мной: """"""Andry"""""", вас приветствует ""Рейтинг Букмекеров""! Интернет уже не первую неделю шумит о стратегии «Лайв профит». За последнее время лично к нам обратилось несколько десятков человек – спрашивают, что мы слышали об этой стратегии, действительно ли она рабочая и т.д. Один наш читатель даже хвастался, дескать, проходимость – 11 из 12 за один день. Поначалу мы не воспринимали этот курс всерьез , посчитав это очередным лохотроном. Но поток вопросов был таким бурным, что мы решили лично протестировать стратегию. Мы Были удивлены: впервые за долгое время нам в руки попала действительно рабочая стратегия. На то, чтобы разобраться и научиться ее использовать, у нас ушло 1 час 50 минут и чашка кофе. Инструкция предельно понятная, даже новичок быстрo овладеет стратегией. Но сразу говорим, нужно посмотреть все видеоуроки, чтобы не упустить ничего важного, иначе эффективность может снизиться. сайт с курсом тут (ссылки на сторонние ресурсы запрещены).Начали тестировать. В первый же вечер стратегия дала существенный плюс, но мы не спешили радоваться – опыт подсказывал, что нужно понаблюдать еще хотя бы несколько дней. Второй вечер – опять плюс. Третий вечер – снова плюс! В общей сложности, за 11 дней на тестовом счете нам удалось увеличить первоначальный банк в 4.5 раза. Так что теперь мы можем с уверенностью сказать тем людям, которые назойливо спрашивали у нас о стратегии «Лайв профит» – они спрашивали не зря, Стратегия ""Лайв Профит"" oказалась классным инструментом для зaрaботка на ставках и для себя лично :) Итог: Стратегия ставок ""Лайв Профит"" стоит гораздо большое , тех денег, за которые ее предлагают купить на этом сайте ниже , с ее помощью, получать прибыль на дистанции вполне реальнo многие месяцы..","<p>Андрей, здравствуйте!</p><p>Напишите, пожалуйста, с какой почты Вам пришло письмо?</p>",Стратегия №1 для live ставок
994,"Добрый день! Вопрос у меня такой... У вас есть список капперов, которым можно доверять. Я хочу выбрать для себя каппера, с которым я буду ставить. Я их всех просмотрел, и они все впечатляют. И тут я растерялся и не знаю какого каппера выбрать. Из всех этих капперов, кого посоветуете вы? Какой капперский сайт самый стабильный и самый прибыльный? Среди всего этого списка можно же кого-то выделить.","Добрый день, Александр! Мы не в праве рекомендовать вам кого-то конкретного, потому что вы собираетесь (как я понимаю) в дальнейшем рисковать своими кровными, опираясь на чьи-то советы. Поэтому, это исключительно ваш личный выбор должен быть. Более того, лучше всего всегда думать своей головой, чем полагаться на кого-то в данном вопросе.",Затрудняюсь с выбором
995,"Здравствуйте. Когда смотрю прогнозы команды, в разделе статистика есть данные о прибыли в процентах и прибыли в долларах. Может кто-нибудь знает исходя из каких цифр это рассчитывается? Может быть имеется в виду, что ставки фиксированные или же составляют какой-то % от банка в общем, помогите разобраться плз)","<p>Добрый день, Ярослав! Расчет ведется следующим образом:</p><p>https://gyazo.com/eb6d5c9ddc38e0ad5340dc3e1f92a32b<br /><br />Под каждым отчетом за месяц перед комментариями есть такой пояснительный блок. Например, здесь -  https://bookmaker-ratings.ru/infographics/iyul-2016-uspeshnost-prognozov-komandy-rejtinga-bukmekerov/</p>",Прогнозы от команды
996,"посоветуйте! что более безопасно для вилочника? ставки прематч? или лайв? и вообще с чего лучше начать новичку? какой из вариантов вилок более не бросается в глаза букмекерам? если ставить прематч я вижу плюс в том, что я могу не переходить со сканера на сайт букмекера! а находить вилку на сайте непосредственно сам! т.к. времени на это есть сполна! в лайв вилках же, я думаю практически не реально искать на сайте самому! т.к. вилки за время поиска вероятнее всего исчезнут! и большая вероятность что в лучшем случае останешься при своих, а то и вовсе в минус уйдешь! и придется переходить напрямую со сканера! что мне делать?","Лайф 100%. Я раньше пользовался вилочным сервисом Betlinker так там стоимость подписки на лайф вилки была почта в три раза больше, чем доматчевые. Сейчас они вообще лайф вилки не продают никому, работают только со старыми клиентами.",что более безопасно для вилочника? ставки прематч? или лайв?
997,"есть каппер /Вопрос отредактирован. Ссылки на сторонние ресурсы и адреса запрещены/, не могу найти его в рейтинге, как добавить его на проверку?","Добрый день, Владимир.
Если Вы заинтересованы в добавлении капперского сайта или группы в рейтинг капперов, для начала внимательно ознакомьтесь с <a href=""https://bookmaker-ratings.ru/wiki/kriterii-otsenki-kapperov-kapperskih-sajtov/"" target=""_blank"">нашими правилами и критериями оценки капперов</a>. В правилах можно найти ответы на все вопросы. Затем подавайте заявку.

",как добавить на проверку каппера?
998,"общаясь со службой тех подержки узнал что пополнение возможно только теми картами которые выпущены в определенных странах, Казахстан и Рф не входять в список стран, читая комменты тут вижу что все пополняют и снимаю именно картами, прошу дать пояснение Спс","Ильянс, я думаю, Вам лучше задать этот вопрос непосредственно в обзоре Бетфейр <a href=""https://bookmaker-ratings.ru/review/obzor-birzhy-stavok-betfair/"" target=""_blank"">здесь</a>. Там игроки, постоянно работающие с данной биржей, очевидно, они смогут ответить на Ваши вопросы.   ",вывод из биржы бетфейр
999,"Раньше пользовался сервисом по поиску вилок /Вопрос отредактирован. Ссылки на сторонние ресурсы и адреса запрещены/, там целый терминал устанавливается на комп и работать с этой прогой очень удобно было. Но сейчас к сожалению, они не продают доступ, как мне сказали работают только с постоянными клиентами. Вопрос вилочникам- какой сервси по поиску вилок сейчас популярен, больше конечно вилки лайф интересуют. Спасибо.","Сергей, ищите такие сервисы в поисковиках. Ссылки на сторонние ресурсы мы не публикуем. ",Сервис по посику лайф вилок.
1000,"объясните пожалуйста! если ставить вилки с биржей бетфайр!, я как понимаю у них комиссия 6.5 процентов! то есть у тебя будут забирать львиную долю твоего дохода? если ни вообще не получится то что из за этой маржи ты окажешься в минусе? 6.5 процентов берется непосредственно с выйгрыша? или со всего оборота? или же когда ты делаешь вилки, бетфайр как правило идет как страховка? то есть на нем редко случаются выйгрыши? есть ли смысл пробовать с ним вилковать?","Никита, комиссия в Бетфейер начисляется на прибыль. Учитывайте это при анализе  коэффициентов.",маржа бетфайр 6.5 %. за что именно?
1001,"Если я публикую прогноз на матч, делая 3 ординара, 10 у.е делятся на 3 или на каждый одинар начисляется по 10 у.е.? Пример, мой прогноз на АЯКС-Ростов","<p>Нет, не делятся. Каждая ставка по 10 у.е.</p>","Какой размер ставки в у.е на матч, если взял 3 ординара"
1002,расскажите пожалуйста ваше отношение к бонусам букмекеров! привлекают ли они внимание если ты стабильно ставишь вилки? стоит ли подписываться на данные бонусы при регистрации у букмекера вилочнику? нужно ваше мнение!,"Лично моё отношение - мелочь, а приятно. Когда, например, на Винлайне в течение месяца заигрываешь ставок на 80 тыс рублей, тебе на счёт переводят 1000 тыс. Мелочь? А приятно.
А на bwin собирал бонусы на кепочку из Гибралтара (ну с паршивой овцы хоть шерсти клок), а у них произошла какая-то реструктуризация бонусной программы - все мои баллы сгорели.
Но на самом деле, при выборе конторы бонусная программа - это последнее, на что должен обращать внимание игрок.",бонусы букмекеров? в чем подвох?
1003,"В конкурсе ""Деньги и Слава"" эта ставка отмечена как проигрыш. http://prntscr.com/c6zebh","Ребята, ну кончайте уже, фора - гандикап или гандикап - фора, это одно и тоже, что в зарубежных БК называется гандикап, то в некоторых ""отечественных"" называется фора, по смыслу это одно и то же. Гандикап может быть азиатским, когда при AH(-1) будет возврат, или европейским, когда при EH(-1) будет проигрыш, всё то же самое касается и форы Ф1(-1), фора/гандикап - слова синонимы. Будьте внимательны при выборе ставок и читайте правила букмекерских контор, в частности как рассчитывается гандикап (фора) применительно к рассматриваемому событию. Если конкурс проводится РБ, то возможно это и недоработка РБ в плане разъяснения типа ставки.",Я делал прогноз на матч Копенгаген- АПОЭЛ Ф1(-1). Матч закончился со счётом 1:0 в пользу Копенгагена. Вопрос: это проигрыш или возврат?
1004,Почему не расчитан прогноз который я давал по конкурсу?,"Вы хотя бы читайте, что люди пишут! Одни и те же вопросы каждый день.",Почему не расчитан прогноз который я давал по конкурсу?
1005,"Допустил ошибку в написании названия команды в поле ставки. Полагаю, что с этим связана задержка. Возможно ли исправить? Ссылка на прогноз. https://bookmaker-ratings.ru/tips/prognoz-na-match-manchester-yunajted-sautgempton-8/","Если у вас есть ошибки в том или ином прогнозе - об этом лучше написать в комментариях к тому самому прогнозу, чтобы модераторы трибуны могли отреагировать и исправить то, что требуется.",Возможно ли расчитать прогноз?
1006,Почему мой прогноз в конкурсе(https://bookmaker-ratings.ru/tips/futbol-apl-stok-siti-manchester-siti/) не прошел проверку? Что с ним не так?,"Сейчас получился огромный ""наплыв"" прогнозов на сайте и модераторам трибуны просто не хватает времени делать все моментально. Поэтому, отнеситесь с пониманием к данному вопросу.",Почему мой прогноз не прошел проверку?
1007,"Я вот вчера дала прогноз для конкурса на матч Лион -Кан и Мю- Саутгемптон, всё сыграло. А сегодня открываю и прогноза нету, как будто я его и не писала. Прогноз был экспрессом: Победа Лиона с форой (-1) (1.55) и Победа МЮ с форой (0)(1.18). кэф у экспресса был в районе 1.85. Почему так вышло?","Если прогноз бы удален автоматически, значит он не прошел по уникальности и был скопирован откуда-то идли размещен ранее вами же в другом месте.",Вопрос по конкурсу
1008,"Что за бред ??? какой день уже в подряд удаляют прогноз без обяснение , причем быстро. Где справедливость , или это палки в колеса ? Админы вообще в адеквате ?","Если речь об автоматическом удалении, то все дело в уникальности. Удаляется прогноз автоматически, если текст не уникален.","Что за бред ??? какой день уже в подряд удаляют прогноз без обяснение , причем быстро. Где справедливость , или это палки в колеса ? Админы"
1009,"Здравствуйте, случайно выбрал не ту дату прогноза, как исправить?","Об ошибках в опубликованных прогнозах вы можете сообщать в комментариях к своим прогнозам, требующим вмешательства модераторов трибуны.",Неправильно опубликовал дату прогноза
1010,не помню номер счета хотел по новому не пропускает говорит такой пользователь есть,"Здравствуйте.
Напишите в поддержку конторы, объясните ситуацию. Вам расскажут, как восстановить доступ. ",не помню номер счета
