texts	answers	labels
По логике раз бк не зарегистрирована на тер.РФ и нет контроля, то платить должна бк и если ваш банк заблокировал счет, то им достаточно дать понять, что это не финансирование терроризма или отмывание денег.	Еще не слышал, чтобы кто-то платил налоги за выигрыш в БК.  	134
Скажите пожалуйста почему в БК Betcity прямая красная карточка не рассчитывается как две ЖК, и более того вторая ЖК повлёкшая за собой красную карточку тоже не считается в общий Тотал ЖК?	У каждой конторы свои правила расчета карточек. Кто-то красную за две желтых считает, то есть как два очка, грубо говоря. И неважно, прямая она или нет. А кто-то вообще даже две ЖК повлекшие удаление не считает за ЖК. В любом случае, главное чтобы с правилами конторы расчет ставки не расходился.	268
Слышал что в россиии хотят запретить ввод и вывод средств на заграничные бк!	Вполне вероятно, что в ближайшем будущем будут реализованы идеи запретить транзакции в сторону нелегальных контор. 	82
"К кому можна обратиться по поводу блокировки счета в БК ""Бетсити""?"	Заполните форму жалобы, пожалуйста.	139
Играю в международной конторе, не верифицировал счёт. Надёжно ли это?	Скорее всего Вам придется пройти процедуру верификации после запроса на вывод средств. 	255
Обязательно привязывать карту банка?	 Можете привязать, или заказать карту Skrill	18
несколько раз пробовал снять деньги на карту, но показывает что какая то ошибка	Обратитесь в поддержку букмекера.	185
Если в запрос на вывод подтвержден оператором то через какое время деньги поступят на карту visa?	Все зависит от конторы. Где-то деньги приходят в течении часа, а где-то 3-4 рабочих дня.	83
Здравствуйте подскажите пожалуйста , сколько выводятся деньги с конторы на банковскую карту мастер карт.	на мастер карт можно выводить через систему Ecommpay, максимальная сумма на одну транзакцию 15000 рублей. Советую пользоваться платежными системами Skrill или Neteller. Вывод через них намного быстрее и выводить можно гораздо больше.	298
Подскажите если кто знает.Сколько времени занимает вывод с 1хбет на карту MasterCard ?	Вывод может быть осуществлен от 1 минуты до 7 дней.	95
Если играть довольно на крупные суммы, то счет в какой валюте лучше всего выбрать, что бы с минимальными % можно было выводить деньги в платежную систему, а потом и на банковскую карту.	 Skrill удобен для профессиональный игры.  	4
Зарегистрировал 3 аккаунта на одну карту в БК Winline! Все заблокировали!	Это мультиаккаунтинг. Контора имеет право Вас заблокировать. 	288
Не могу перечислить свои выигранные деньги на банковскую карту так как забыл контрольные вопросы.как и где можно узнать?	В этом Вам поможет служба поддержки БК, уточните этот момент у них.	70
В каком банке(РФ) в случае перевода крупной суммы на кредитную карту будет меньше проблем с получением этих денег?Если будут проблемы, то какие?	Имеется в виду получение выигрыша с оффшорной БК? В настоящий момент актуальной является не проблема получения крупной суммы, а возможность перевода из иностранных контор денег на карты российских банков в целом. Если ваш банк обслуживает счета оффшорных БК, то проблем быть не должно. 	146
Как получить возможность давать прогнозы на РБ? Спорт: Смешанные единоборства (ММА)	 Позже в этом году мы запустим пользовательские блоги, в которых сможет давать прогнозы любой наш читатель. Лучшего из них мы возьмем на работу в звездную команду прогнозистов РБ.  	28
Приветствую, администрация РБ, хотел узнать, каким образом моя группа могла бы попасть в рейтинг капперов. Она полностью соответствует требованиям РБ. Все проверки готов пройт	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Какой мой баланс на РБ, как он расчитывается и где его смотреть	"Статистика прогнозов указывается в вашем профиле, в разделе """"статистика"""". Каждая ставка принимается за 10$."	262
"Как попасть в команду ""РБ""? Какие для этого требования и на каких условиях?"	Следите за новостями на нашем сайте.	258
Как стать аналитиком РБ?	Следите за новостями на нашем сайте.	258
Играя онлайн, какими средствами ввода-вывода и платёжными банковскими карточками лучше всего пользоваться или какими пользуются эксперты РБ?	Зависит от количества контор в которых вы собираетесь играть. Если это одна контора, то самый удобный метод это карточка VISA. В отличии от Mastercard на нее выплачивают все букмекерские конторы.Если вы собираетесь играть в нескольких конторах, и перекидывать деньги из одной в другую, то лучше выбрать платежную систему. Например Skrill. Почти везде на Skrill выплаты обрабатываются в течении нескольких часов.Недостаток платежных систем в том что там прийдется пройти  верификацию .	137
"Можно ли зарегистрированным пользователям, кроме ""Команды РБ"" добавлять видеопрогнозы?"	У пользователей есть возможность публиковать прогнозы в текстовом формате. С рекомендациями по написанию можете ознакомиться  здесь .	269
Можно-ли удалить свой профиль на сайте РБ? Если да, то как?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Уважаемая команда РБ. Может ли так быть что капперы, которым вы доверяете-мошенники? Столкнулся с непонятной ситуацией.	Заполните форму жалобы, пожалуйста.	139
Нет входа ни с браузеров ПК ни с телефона андроид. Только мобильная версия работает. По ссылке РБ тоже не получается войти. Сам сайт не загружается вообще.	Ищите способы обхода блокировок в поисковике. 	150
Как удалить прогноз на сайте РБ?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Приветствую, читателей РБ. Возник вопрос по поводу WinnerLike . О них столько много отзывов у вас на сайте . А по факту, не могу найти толковую информацию о них .	Ровно один абзац посвящен у нас данному сайту. Отсутствие толковой информации в сети и размещение данного ресурса в списке капперов РБ, которым нельзя доверять, свидетельствуют о том, что особой нужды в поиске этого сайта ни у кого не возникает. 	245
"Как попасть в команду ""РБ""?"	Следите за новостями на нашем сайте.	258
Подскажите пожалуйста,как правильно сделать,я гражданин Украины,но живу в России и для ставок хочу открыть визу классик.Если я правильно понял,пополнить с нее не получиться,так как нужно чтоб совпадали гражданство и твой банк.Что делать в такой ситуации?кто-то сталкивался?	 Просто карта должна быть на ваше имя. Совпадение гражданства и банка не обязательно. 	30
Контора просит у меня паспортные данные для полной регистрации!	 Просто карта должна быть на ваше имя. Совпадение гражданства и банка не обязательно. 	30
Букмекерская контора winline находится в двух отделах по оценкам. Winline есть 5 звёзд и 3 звезды, что вводит в не понятки. Прошу разъяснить ситуацию!	С точки зрения законодательства - это разные БК. Деятельность БК Winline с оценкой 3 осуществляется на основании лицензии ФНС России, а действия другой на территории РФ запрещены (блокируется Роскомнадзором)	248
Ищу информационные порталы, посвященные лигам английского футбола начиная от Чемпионшипа (про АПЛ пишут везде и много). Подскажите, если у вас есть подобные.	Удобнее всего найти подробную информацию по данным лигам можно на сайтах этих самых лиг и их представительствах в социальных сетях. Особо обширно лиги и команды низших дивизионов представлены в Twitter.	270
Что мне делать если при регистрации в Skrill система пишет некорректный город и некорректный адрес???	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Сколько длится верификация Подскажите	Обычно документы проверяют в течение двух недель.	188
Здравствуйте,уважаемые специалисты.Пожалуйста подскажите-сколько времени длиться проверка документов в следующих конторах:Betfair,Liga stavok,SBOBET?	Обычно документы проверяют в течение двух недель.	188
на счете в бк находится депозит оплаченный истекшей картой. Если я сейчас сделаю пополнение новой картой, смогу ли снять потом и предыдущий депозит? Или только банковский перевод?	Обратитесь в поддержку букмекера.	185
Сделал прогноз для конурса, его удалили, т.к. такой ставки нет в БК Вильям Хилл. Как узнать, если ли данный исход, если у Вильям Хилл нет сайта ?	Ищите способы обхода блокировок в поисковике. 	150
При регистрации пишет, что пользователь с данным lp уже зарегистрирован	Обратитесь в поддержку букмекера.	185
По правилам необходимо именно зарегистрироваться, т.е вход через соц сети не считается регистрацией?	Учетная запись через соцсеть тоже может принимать участие в конкурсе - необходимо просто нажать на соответствующую кнопку на этой странице   	277
подскажите пожалуйста, как войти на вильям хилл? сегодня блокнул провайдер. расширения или зеркала? есть мозилла и опера турбо. спасибо	Ищите способы обхода блокировок в поисковике. 	150
Подскажите, не будет ли проблем (при выводе средств с букмекерской конторы) при использовании НЕ именной карты? могут ли они потребовать её фото и не вызовет ли она каких-либо вопросов или подозрений?	Обратитесь в поддержку букмекера.	185
Через рейтинг букмекеров по бонусной программе в бк Леон не проходит регистрация?Все поля заполнил правильно!Пишут добавить 1цифру или букву в пароль.Добавил аж до двадцати включая символы!-и так раз двадцать!Бесполезно! Что делать?	Обратитесь в поддержку букмекера.	185
Как мне зарегистрироваться в Skrill ,когда система пишет, что у меня некорректный адрес и город. Всё правильно как в паспорте что не так?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
при регистрации сделал в имени одну ошибку, тоесть букву добавил, как быть в этом случае, могут ли они меня заблокировать если я им об этом скажу и отправлю паспорт? конечно не специально, просто техническая ошибка с моей стороны.	 Обычно опечатки исправляют в нормальных конторах. О какой БК идет речь? 	26
логина, сегодня первый раз получилось войти, но потом вылетел и снова не могу войти. Может вы в курсе в вем проблема?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Здравствуйте,не могу зайти на сайты букмекерских контор,они заблокированы,как обойти это?	Ищите способы обхода блокировок в поисковике. 	150
Когда я хочу пополнить счёт с карты,то пишет ваш депозит заблокирован,что делать?	Обратитесь в поддержку букмекера.	185
Нашла одно приложение в аб сторе , но там не даёт Приложение регистрации , пишит введите номер купона. Но у меня его нет . Как мне на айфон скачать приложение и зарегистрироватся?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Не могу дать прогноз, так как нет выбора букмекерской конторы. Как можно исправить эту не поладку? Или это ограничение?	Публикуйте прогнозы без выбора букмекера пока. Можете в тексте писать, например, что коэффициент взят по линии БК William Hill или другой конторы, если вы не участник конкурса. 	240
Нахожусь в Испании, не заходит на BetFair.com перекидывает на BetFair.es. подскажите, как решить эту проблему?	Ищите способы обхода блокировок в поисковике. 	150
Хочу спросить по поводу блокировок контор. Долго ли БК будут менять свои сайты и обходить ограничения? Какова вероятность окончательной блокировки популярных контор, и самого РБ?	ДУмаю, что БК не будут заблокированы, сами по себе. Могут ввести санкции на запрет платежей в запрещенные БК или на прием переводов - это, да. Или же некоторые букмекеры могут сами отказаться от приема граждан РФ в ряды своих игроков. Но некоторые букмекеры должны будут, в дальнейшем, вступить в СРО и работать через ЦУПИС. Рано или поздно таких контор станет больше. И в их число должны войти и зарубежные.РБ не носит никакой запрещенной информации.	100
"у вас на сайте есть два обзора конторы """"Винлайн"""", я не совсем понимаю это две разные конторы с двумя разными сайтами или как?  "	Первая ссылка на официально зарегистрированную под Российское законодательство БК - она не блокируется Росскомнадзором. Вторая это  официально другая БК. Но с Рейтинга Букмекеров при нажатии на перейти на сайт будет кидать только на БК разрешенную Росскомнадзором. БК по второй ссылке придется искать самостоятельно  используя зеркала или обходы блокировок.	198
В чем принципиальная разница между этими двумя конторами? Почему одна 5 звезд, другая 3?	1хставка ориентирована на российский рынок и ее деятельность абсолютно законна в РФ. Поэтому игроки более защищены в правовом плане. Что касается 1хбет, это офшорная БК. К тому же, на нее сейчас оформлено немало жалоб.	41
Вчера только что зарегистрировался на сайте,а сегодня уже не могу туда зайти,пишет ваш щет заблокировать,как так что это такое	Обратитесь в поддержку букмекера.	185
Попросили фото паспорта я скинул и теперь говорят что я в очереди. эта очередь вообще существует ? и сколько мне ждать пока проверять данные ?	Обычно документы проверяют в течение двух недель.	188
Заблокировали мой счёт, говорят что я нарушел правила, что идёт расследование , документов ни каких не спрашивают, хотел бы узнать в чем именно я нарушел правила и когда меня разблокируют?	Этот момент лучше уточнить в службе поддержки БК.	291
ставка: какой игрок гол. например я взял какой то игрок забьет гол, но этот игрок не вышел в составе и на замену тоже. это считается ВОЗВРАТ или ПРОИГРЫШ?	в таком случае ставка возвращается. Но прежде чем ставить, советую прочитать правила данной конторы.	295
имеет ли конотра tenisi право изяьт весь баланс и не вернуть депозит если заподозрило игрока в мультиакаунте и требовать от меня справку об оплате тсж	Мультиаккаунтинг - серьезное нарушение, поэтому действия конторы вполне оправданы. 	163
Как максимально быстро можно сделать, чтобы больше людей узнали о моих прогнозах и стало больше подписчиков?	Еще раз Прежде всего, нужно писать качественные прогнозы, которые будут попадать на Трибуну. Немалую роль играет и проходимость прогнозов. Если уровень материалов будет высоким, а статистика плюсовой - поклонники Вашего капперского таланта найдутся очень быстро.	135
Если мой прогноз не допускается на главную страницу трибуны то его по окончание не расчитывают?	Нет, такой прогноз нет смысла рассчитывать, поскольку он в любом случае не пойдёт в статистику.	181
Заблокировали игровой счёт, почему?	Обратитесь в поддержку букмекера.	185
Здравствуйте вчера сделал прогноз на один из матчей,который прошел. Сам сайт рейтинг букмекеров напишет,что ординар зашел или мне что-то надо для этого сделать?	Если вы имеете ввиду расчет прогноза, то их рассчитывают модераторы каперской трибуны. Возможно, имеет место быть задержка из-за окна в смене.	126
поставил я на исход гейма на игрока 1 , выигрывает игрок 1 но денег начисление небыло. потом поставил на игрока 2 выигрывает игрок 1. получил выйгрышь. как так? играю в леонбетс	напишите об этом в поддержку Леона. Им виднее, что произошло с Вами ставками.  	300
Плтатит ли игрок наземного ППС какие либо налоги?	Большинство ППС компенсируют размер налога на выигрыш. 	49
В Фонбете есть Тото! Если вдруг угадаю из 15/15 то какая гарантия что я получу этот выигрыш?	Если Вы не будете нарушать правила БК, то спокойно получите выигрыш. 	120
"Почему , у самой раскрученной и обширной БК страны такие ""еврейские правила"" на теннис? Как правила могут противоречить здравому смыслу? Матч не доигран по травме , везде расчет с кф 1 и возврат.В ""Фонбет"" , ты проиграл."	"Каждая БК имеет право формировать свои правила. Если расчет ставок в каких-то ситуациях Вас не устраивает, Вы всегда можете найти альтернативу данной конторе. Кстати, не только указанная Вами БК ставит ""поражение"" при травме игрока. Одна очень известная и уважаемая контора, название которой начинается на букву ""П"", делает тоже самое."	153
Уже третьи сутки не пополняется счёт в бетсити с карты VISA. Вводу все данные нажимаю продолжить и пишет сразу счёт не выставлен ошибка пополнения. Помогите	Обратитесь в поддержку букмекера.	185
пару дней назад я оставил негативный отзыв о Денисе Алексееве и проекте stakebet.погорячился был не прав,мы с ним спокойно поговорили и все обсудили.прошу вас удалить мой комментарий	Если Ваша ситуация разрешилась и Вы нашли общий язык с каппером, Вы можете просто оставить новый положительный комментарий в его обзоре.	118
Скажите пожалуйста,почему поставили лимит на ставках,а конкретно на теннис.Максимальня ставка 1000 рублей.Что такое?	Обычно максимумы снижают вилочникам.	189
Не могу зайти в аккаунт, пишет, что не правильный логин или пароль, хотя логин мой майл, пароль поменяла, но всё равно пишет, что не правильно!! Что я делаю не так?	Обратитесь в поддержку букмекера.	185
я не могу зайти в 1xbet когда я захожу там написано страница заблокирована что делать?	Ищите способы обхода блокировок в поисковике. 	150
Дело в том что я хочу зарегистрироваться в БК но имею временную прописку,по этому хочу узнать возникнут ли у меня с этим проблемы с дальнейшей идентификацией.	Обратитесь в поддержку букмекера.	185
Что нужно делать чтобы появились у меня подписчики?	пишите качественные прогнозы, которые будут нравиться людям и они будут на Вас подписываться. 	301
Здраствуйте, хотел спросить есть ли где то на сайте информация по ставкам прогнозистов за более длительный период (например за полгода на Генича)?	Нет, информация отображается за последний месяц. 	179
Заблокировали меня, то мои документы на верификации, то зайди на сайт но доступ к аккаунту все равно не даете. Почему вы такие мелочные деньги лопатами гребете, а честный выигрыш 33418 не можете отдать?	Заполните форму жалобы, пожалуйста.	139
Удалить или изменить имя и фамилию - не хочу светится у Вас.	В настройках своего профиля Вы можете изменить имя и фамилию. Отзыв не будет удален.	60
не могу зайти в личный кабинет пишет не правильный пароль,а все пишу правильно,и восстановить так же не получается,что делать?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Заблокировали счёт в БК, якобы за подозрение в мультиаккаунтинге ( полный бред ). Выслал все доки, и фото банковских карт с которых пополнял счёт, пошла уже третья неделя, служба поддержки меня игнорит.	антиэкспресс - тип ставки, противоположный экспрессу по способу определения выигрыша, т.е. ставка выигрывает, если соответствующий экспресс проигрывает. Иначе, антиэкспресс – это ставка на два или более выбора из разных событий, где ставка выигрывает, если хотя бы один выбор не совпадет с результатом.(Напомним, в экспрессе наоборот, чтобы выиграть ставку, необходимо, чтобы все выборы совпали с результатами).Итоговый коэффициент антиэкспресса рассчитывается на основе вероятности, противоположной вероятности выигрыша по экспрессу, составленному из тех же выборов.	293
Вазможно ли вастановить 1 ый аккаунт 1xBet по паспортным данным ели я потерял номер счёта и пароль ?	Обратитесь в поддержку букмекера.	185
"Я опубликовал прогноз на матч ""Барселона"" - ""Атлетико"", и его не допустили на главную страницу ""Трибуны"". У меня вопрос - ставка будет считаться в рамках конкурса или нет?"	"Все прогнозы участвуют в конкурсе, кроме тех, которые были удалены. Так что если Ваш конкретный прогноз не был допущен на Трибуну, он все равно """"играет"""".  "	90
Хочу удалить анкету !	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
подскажите это будет рассматриваться, как открытие второго счета? что запрещено правилами?	С позиции законодательства эти БК отличаются и отношения друг к другу не имеют. Можете регистрироваться.	246
хотел узнать почему мой прогноз не был допущен на главную страницу трибуны?	"По всей видимости, Ваш прогноз не соответствует правилам, установленным для прогноза. Что бы в дальнейшем проблем с попаданием на трибуну не возникало, ознакомьтесь с разделом """"Знания/Полезные статьи"""".Удачи!"	203
Что дает попадание на трибуну?	"Если Ваш прогноз попадает на главную страницу ""Трибуны"", то его увидит большее количество людей. "	117
Как зайти на Вильям Хилл?	Ищите способы обхода блокировок в поисковике. 	150
Правда ли что есть такие ограничения? Я ни где не нашёл это в их правилах	Обратитесь в поддержку букмекера.	185
не могу получить доступ к сайту	Ищите способы обхода блокировок в поисковике. 	150
Приветствую! Подскажите пожалуйста как это сделать, кому и куда написать?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
написал прогоз но его не опублиовали ....почему ?	Прогноз нужно опубликовывать не позднее чем за два часа до игры! Если даешь прогноз за 1,5 или за час до игры,то он не публикуется в капперской трибуне! Делайте прогнозы на матчи заранее.	229
Как отказаться от подписки на сайте?	"Наведите курсор мыши на свою аватару, которая расположена в правом верхнем углу экрана. В выпадающем меню есть пункт ""Настройки уведомлений"". Дальше, думаю, понятно, что делать.  "	173
просят верифицироваться на сайте но я не могу найти где это можно сделать, подскажите пожалуйста	Обратитесь в поддержку букмекера.	185
Я прочитал что в Британии посадили одного бонусхантера за не законное получение бонуса. Интересно в России за это наказывают? Или у нас ещё не так сильно развито кибер расследование?	 Можете дать ссылку на эту статью?  Не уверен, что в России обратят на это внимание. 	17
Заблокировали Winline22, есть зеркало?	Ищите способы обхода блокировок в поисковике. 	150
То, что в РФ блокируют сайты, не означает что они запрещены?	Означает то, что из данных стран нельзя делать ставки в данной БК.На территории РФ блокируют сайты БК, потому что прием ставок в сети запрещен. Легально на территории РФ работают только 1хСтавка, Лига ставок и ещё какая то БК.	191
Как восстановить пароль на 1x bet ?	Обратитесь в поддержку букмекера.	185
доброго времени суток. у меня на сайте два профиля. один я хочу удалить. подскажите как	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Где букмекеры берут live статистику? есть ли такие сайты с live статистикой более быстрые и точные чем myscore и тому подобные? спасибо	Многие конторы отправляют на матчи своих скаутов, которые отслеживают происходящее в онлайн-режиме и передают в БК соответствующие данные. Существуют также и сторонние компании, предоставляющие профессиональную live-статистику. Их услугами, как правило, пользуются букмекеры, которые не имеют собственных скаутов. 	162
Не могу перейти на вилиям хилл почему?	Ищите способы обхода блокировок в поисковике. 	150
Будут ли в этом году традиционные новогодние фрибеты от компании фонбет?	Обратитесь в поддержку букмекера.	185
Недавно зарегистрировался , испытываю проблемы с сайтом	"В профиле прогнозиста есть кнопка ""Подписаться"". Такая же кнопка есть и в самом прогнозе. Если у Вас возникают технические трудности с сайтом, то можете написать на почту support@bookmaker-ratings.ru, подробно описав свою проблему."	66
подскажите как добавить каппера в рейтинг? заранее спс	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Помогите войти на сайт Вильям Хилл	Ищите способы обхода блокировок в поисковике. 	150
Он подал вам заявку что бы вы его поставили на тестирование капперов на вашем сайте но его не где не видно.Будете его ставить?	Если его прогнозы удовлетворяют всем правилам, они появятся на трибуне.	127
Почему в белорусской версии сайта и на ППС не предлагаются дополнительные исходы на статистику футбол, теннис, хоккей?	Обратитесь в поддержку букмекера.	185
Я бы хотел поменять мой электронный адрес на сайте Винлайн.com я указал неверный ошибочно как это сделать?	Обратитесь в поддержку букмекера.	185
что такое маржа ?	маржа - это прибыль букмекера, заложенная в каждый выставленный им коэффициент.  	297
Почему топ букмекеры сайта дают столько минусов? Они делают специально чтоб люди заходили в минус?	прогнозирование результатов спортивных мероприятий не точная наука, Вы можете посмотреть и статистику капперов на главной трибуны и участников конкурса «Деньги и слава». У всех бывают как плюсовые серии так и минусовые.  Никто не просит делать ставки по их прогнозам, но их аналитику можно учитывать при принятии своего решения по ставке. Да даже можно против ставки делать, если видно, что эксперт стабильно угадывает не ту сторону (у меня так обычно получается)  Кстати, именно победитель в конкурсе «Деньги и слава» получит предложение стать нашим экспертом, так что дерзайте. 	302
как изменить пароль на сайте?	"Заходите в профиль, нажимаете на значок ""Карандаш"" (Справа вверху) листаете страницу вниз, вот и всё."	142
меня заблокировали на леоне в связи с тем что я зарегистрировался там будучи несовершеннолетним. Сейчас мне почти 20. ТП леона отвечает по шаблону и отказывает в разбане. Как быть?	Вы нарушили правила букмекера ранее. Букмекер в соответствии со своими правилами прекратил сотрудничество с Вами.  Сейчас они отказываются от возобновления сотрудничества. Вы можете воспользоваться услугами конкурентов. 	93
Скажите Можно ли восстановить пароль с помощью номера телефона через который я регистрировался?	Обратитесь в поддержку букмекера.	185
Ало! Логин и пароль все на листочки, заходил все норм было,сейчас пишет Неверный пароль или Логин!200 что делать?	Перепроверь все еще раз. Понимаю что звучит глупо, но мне как то помогло то что я почистил кэш, cookie , историю в браузерах и потом получилось зайти. Попробуй проверить почту на которую регистрировался и попробуй восстановить пароль.  Надеюсь решите проблему.	200
Пользуюсь вашим сайтом. Но с мобильного телефона немного неудобно. Хотелось бы иметь приложение. Если оно есть. И если его нет, то будете ли вы его создавать?	Приложение сайта РБ для устройств на Android находится в стадии разработки. 	226
